Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
CZE,2,Running Sum of Population,3823,3221.202159800
CAN,1,Running Sum of Population,3832,3223.891659800
KAZ,6,Running Sum of Population,3834,3225.504743000
IRN,9,Running Sum of Population,3853,3230.685817400
ISR,4,Running Sum of Population,3858,3231.130017400
POL,6,Running Sum of Population,3896,3234.912466200
BLR,7,Running Sum of Population,3966,3235.926466200
KOR,3,Running Sum of Population,3975,3240.123966200
TTO,8,Running Sum of Population,4005,3240.244088600
DNK,1,Running Sum of Population,4024,3240.757040200
CRI,9,Running Sum of Population,4055,3241.048696800
GRC,2,Running Sum of Population,4088,3242.052395100
ESP,3,Running Sum of Population,4090,3245.923979900
URY,6,Running Sum of Population,4093,3246.230796500
ARG,5,Running Sum of Population,4094,3249.403709500
FIN,1,Running Sum of Population,4095,3249.898357600
ROU,6,Running Sum of Population,4095,3252.204123800
EST,4,Running Sum of Population,4121,3252.360313800
MEX,9,Running Sum of Population,4133,3260.461323400
LTU,7,Running Sum of Population,4141,3260.826828300
LSO,10,Running Sum of Population,4145,3260.984818300
JOR,9,Running Sum of Population,4158,3261.279618300
GBR,2,Running Sum of Population,4178,3266.972451100
SVK,4,Running Sum of Population,4218,3267.497510700
CYP,4,Running Sum of Population,4224,3267.571163800
PRT,5,Running Sum of Population,4247,3268.573124800
SVN,3,Running Sum of Population,4281,3268.772644400
BGR,3,Running Sum of Population,4292,3269.670789000
PRY,8,Running Sum of Population,4306,3270.073151800
KAZ,7,Running Sum of Population,4330,3271.686235000
IRL,5,Running Sum of Population,4332,3272.038729900
POL,7,Running Sum of Population,4338,3275.821178700
CZE,3,Running Sum of Population,4362,3276.856706300
LVA,2,Running Sum of Population,4378,3277.122049700
MYS,9,Running Sum of Population,4401,3278.842056500
BLR,8,Running Sum of Population,4438,3279.856056500
VEN,8,Running Sum of Population,4458,3281.739984300
COL,9,Running Sum of Population,4492,3284.931309300
ITA,3,Running Sum of Population,4504,3290.594238100
THA,10,Running Sum of Population,4519,3296.131290900
ROU,7,Running Sum of Population,4524,3298.437057100
SVK,5,Running Sum of Population,4605,3298.962116700
MEX,10,Running Sum of Population,4621,3307.063126300
LTU,8,Running Sum of Population,4629,3307.428631200
EST,5,Running Sum of Population,4647,3307.584821200
ISR,5,Running Sum of Population,4672,3308.029021200
KOR,4,Running Sum of Population,4672,3312.226521200
CHL,9,Running Sum of Population,4708,3313.499862100
ESP,4,Running Sum of Population,4768,3317.371446900
NLD,2,Running Sum of Population,4791,3318.847456300
CYP,5,Running Sum of Population,4819,3318.921109400
SVN,4,Running Sum of Population,4829,3319.120629000
CZE,4,Running Sum of Population,4831,3320.156156600
BGR,4,Running Sum of Population,4851,3321.054301200
PRT,6,Running Sum of Population,4884,3322.056262200
POL,8,Running Sum of Population,4916,3325.838711000
URY,7,Running Sum of Population,4920,3326.145527600
DZA,10,Running Sum of Population,4941,3328.549051200
KAZ,8,Running Sum of Population,4953,3330.162134400
IRL,6,Running Sum of Population,4995,3330.514629300
ARG,6,Running Sum of Population,4996,3333.687542300
SVK,6,Running Sum of Population,4997,3334.212601900
BRA,9,Running Sum of Population,5012,3348.659640300
FRA,2,Running Sum of Population,5036,3354.426533500
ROU,8,Running Sum of Population,5061,3356.732299700
BLR,9,Running Sum of Population,5097,3357.746299700
GRC,3,Running Sum of Population,5105,3358.749998000
DEU,1,Running Sum of Population,5114,3366.564459600
LVA,3,Running Sum of Population,5117,3366.829803000
EST,6,Running Sum of Population,5210,3366.985993000
CZE,5,Running Sum of Population,5271,3368.021520600
AUS,2,Running Sum of Population,5284,3369.674740600
GBR,3,Running Sum of Population,5305,3375.367573400
LTU,9,Running Sum of Population,5307,3375.733078300
SVN,5,Running Sum of Population,5345,3375.932597900
KOR,5,Running Sum of Population,5347,3380.130097900
TTO,9,Running Sum of Population,5358,3380.250220300
BGR,5,Running Sum of Population,5384,3381.148364900
ITA,4,Running Sum of Population,5398,3386.811293700
SVK,7,Running Sum of Population,5457,3387.336353300
BEL,2,Running Sum of Population,5470,3388.326519700
HND,10,Running Sum of Population,5501,3388.788344200
CYP,6,Running Sum of Population,5507,3388.861997300
ISR,6,Running Sum of Population,5521,3389.306197300
ESP,5,Running Sum of Population,5534,3393.177782100
TUN,10,Running Sum of Population,5571,3393.963544000
GTM,10,Running Sum of Population,5626,3394.816065100
PRT,7,Running Sum of Population,5637,3395.818026100
PRY,9,Running Sum of Population,5675,3396.220388900
NLD,3,Running Sum of Population,5696,3397.696398300
FIN,2,Running Sum of Population,5729,3398.191046400
CZE,6,Running Sum of Population,5734,3399.226574000
USA,2,Running Sum of Population,5770,3423.676474800
HUN,10,Running Sum of Population,5806,3424.736123500
LVA,4,Running Sum of Population,5806,3425.001466900
EST,7,Running Sum of Population,5809,3425.157656900
IRL,7,Running Sum of Population,5813,3425.510151800
POL,9,Running Sum of Population,5825,3429.292600600
SVN,6,Running Sum of Population,5881,3429.492120200
ROU,9,Running Sum of Population,5886,3431.797886400
KAZ,9,Running Sum of Population,5909,3433.410969600
JPN,1,Running Sum of Population,5929,3445.672269600
BGR,6,Running Sum of Population,5942,3446.5704142
SVK,8,Running Sum of Population,6040,3447.095473800
URY,8,Running Sum of Population,6069,3447.4022904
GRC,4,Running Sum of Population,6077,3448.4059887
DOM,10,Running Sum of Population,6091,3449.0967058
KOR,6,Running Sum of Population,6100,3453.2942058
ARG,7,Running Sum of Population,6116,3456.4671188
AUT,1,Running Sum of Population,6137,3457.2256505
NZL,3,Running Sum of Population,6156,3457.5606505
GBR,4,Running Sum of Population,6205,3463.2534833
FRA,3,Running Sum of Population,6206,3469.0203765
ITA,5,Running Sum of Population,6221,3474.6833053
